Category: All categories

Week,covid depression: (California)
2020-03-01,0
2020-03-08,6
2020-03-15,35
2020-03-22,24
2020-03-29,29
2020-04-05,40
2020-04-12,45
2020-04-19,28
2020-04-26,45
2020-05-03,34
2020-05-10,34
2020-05-17,23
2020-05-24,23
2020-05-31,11
2020-06-07,23
2020-06-14,36
2020-06-21,48
2020-06-28,25
2020-07-05,25
2020-07-12,18
2020-07-19,49
2020-07-26,100
2020-08-02,50
2020-08-09,55
2020-08-16,53
2020-08-23,23
2020-08-30,29
2020-09-06,35
2020-09-13,29
2020-09-20,47
2020-09-27,57
2020-10-04,26
2020-10-11,36
2020-10-18,51
2020-10-25,37
2020-11-01,18
2020-11-08,14
2020-11-15,57
2020-11-22,30
2020-11-29,42
2020-12-06,49
2020-12-13,14
2020-12-20,8
2020-12-27,74
2021-01-03,35
2021-01-10,56
2021-01-17,21
2021-01-24,42
2021-01-31,65
2021-02-07,14
2021-02-14,22
2021-02-21,50
