Category: All categories

Week,covid depression: (Colorado)
2020-03-01,0
2020-03-08,30
2020-03-15,0
2020-03-22,60
2020-03-29,0
2020-04-05,30
2020-04-12,0
2020-04-19,57
2020-04-26,87
2020-05-03,58
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,30
2020-06-07,31
2020-06-14,31
2020-06-21,31
2020-06-28,0
2020-07-05,32
2020-07-12,31
2020-07-19,31
2020-07-26,31
2020-08-02,31
2020-08-09,0
2020-08-16,30
2020-08-23,29
2020-08-30,59
2020-09-06,0
2020-09-13,0
2020-09-20,61
2020-09-27,33
2020-10-04,0
2020-10-11,0
2020-10-18,37
2020-10-25,36
2020-11-01,30
2020-11-08,70
2020-11-15,71
2020-11-22,37
2020-11-29,35
2020-12-06,70
2020-12-13,0
2020-12-20,0
2020-12-27,36
2021-01-03,100
2021-01-10,34
2021-01-17,34
2021-01-24,0
2021-01-31,0
2021-02-07,35
2021-02-14,0
2021-02-21,0
