Category: All categories

Week,covid depression: (Georgia)
2020-03-01,0
2020-03-08,20
2020-03-15,20
2020-03-22,38
2020-03-29,0
2020-04-05,59
2020-04-12,19
2020-04-19,20
2020-04-26,78
2020-05-03,19
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,19
2020-06-07,19
2020-06-14,20
2020-06-21,100
2020-06-28,0
2020-07-05,82
2020-07-12,82
2020-07-19,20
2020-07-26,20
2020-08-02,20
2020-08-09,0
2020-08-16,0
2020-08-23,38
2020-08-30,19
2020-09-06,20
2020-09-13,19
2020-09-20,58
2020-09-27,20
2020-10-04,41
2020-10-11,44
2020-10-18,22
2020-10-25,67
2020-11-01,0
2020-11-08,0
2020-11-15,22
2020-11-22,23
2020-11-29,0
2020-12-06,22
2020-12-13,65
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,21
2021-01-17,64
2021-01-24,0
2021-01-31,43
2021-02-07,21
2021-02-14,44
2021-02-21,0
