Category: All categories

Week,covid depression: (Illinois)
2020-03-01,0
2020-03-08,14
2020-03-15,41
2020-03-22,56
2020-03-29,14
2020-04-05,28
2020-04-12,40
2020-04-19,52
2020-04-26,54
2020-05-03,40
2020-05-10,41
2020-05-17,0
2020-05-24,15
2020-05-31,0
2020-06-07,57
2020-06-14,0
2020-06-21,15
2020-06-28,15
2020-07-05,31
2020-07-12,15
2020-07-19,31
2020-07-26,0
2020-08-02,15
2020-08-09,91
2020-08-16,0
2020-08-23,0
2020-08-30,14
2020-09-06,29
2020-09-13,14
2020-09-20,57
2020-09-27,30
2020-10-04,47
2020-10-11,34
2020-10-18,17
2020-10-25,68
2020-11-01,0
2020-11-08,49
2020-11-15,100
2020-11-22,0
2020-11-29,16
2020-12-06,0
2020-12-13,17
2020-12-20,18
2020-12-27,0
2021-01-03,32
2021-01-10,0
2021-01-17,0
2021-01-24,67
2021-01-31,34
2021-02-07,0
2021-02-14,35
2021-02-21,39
