Category: All categories

Week,covid depression: (Maryland)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,57
2020-04-19,56
2020-04-26,28
2020-05-03,0
2020-05-10,29
2020-05-17,0
2020-05-24,29
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,32
2020-07-05,63
2020-07-12,63
2020-07-19,0
2020-07-26,0
2020-08-02,33
2020-08-09,33
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,30
2020-09-20,31
2020-09-27,32
2020-10-04,33
2020-10-11,36
2020-10-18,0
2020-10-25,0
2020-11-01,61
2020-11-08,68
2020-11-15,35
2020-11-22,72
2020-11-29,0
2020-12-06,66
2020-12-13,0
2020-12-20,0
2020-12-27,72
2021-01-03,0
2021-01-10,100
2021-01-17,0
2021-01-24,33
2021-01-31,34
2021-02-07,33
2021-02-14,34
2021-02-21,0
