Category: All categories

Week,covid depression: (Massachusetts)
2020-03-01,0
2020-03-08,17
2020-03-15,0
2020-03-22,16
2020-03-29,46
2020-04-05,32
2020-04-12,46
2020-04-19,47
2020-04-26,92
2020-05-03,16
2020-05-10,48
2020-05-17,32
2020-05-24,66
2020-05-31,0
2020-06-07,32
2020-06-14,0
2020-06-21,17
2020-06-28,17
2020-07-05,0
2020-07-12,35
2020-07-19,18
2020-07-26,18
2020-08-02,0
2020-08-09,35
2020-08-16,35
2020-08-23,35
2020-08-30,0
2020-09-06,18
2020-09-13,16
2020-09-20,0
2020-09-27,35
2020-10-04,18
2020-10-11,61
2020-10-18,41
2020-10-25,61
2020-11-01,18
2020-11-08,59
2020-11-15,100
2020-11-22,0
2020-11-29,57
2020-12-06,58
2020-12-13,0
2020-12-20,43
2020-12-27,41
2021-01-03,39
2021-01-10,79
2021-01-17,20
2021-01-24,0
2021-01-31,39
2021-02-07,20
2021-02-14,40
2021-02-21,67
