Category: All categories

Week,covid depression: (Michigan)
2020-03-01,0
2020-03-08,22
2020-03-15,0
2020-03-22,59
2020-03-29,59
2020-04-05,20
2020-04-12,37
2020-04-19,0
2020-04-26,0
2020-05-03,59
2020-05-10,20
2020-05-17,0
2020-05-24,21
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,67
2020-07-05,44
2020-07-12,44
2020-07-19,22
2020-07-26,0
2020-08-02,89
2020-08-09,46
2020-08-16,0
2020-08-23,45
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,23
2020-10-04,23
2020-10-11,26
2020-10-18,51
2020-10-25,52
2020-11-01,21
2020-11-08,49
2020-11-15,100
2020-11-22,76
2020-11-29,72
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,24
2021-01-10,24
2021-01-17,0
2021-01-24,0
2021-01-31,75
2021-02-07,25
2021-02-14,0
2021-02-21,0
