Category: All categories

Week,covid depression: (Minnesota)
2020-03-01,0
2020-03-08,0
2020-03-15,43
2020-03-22,21
2020-03-29,0
2020-04-05,20
2020-04-12,59
2020-04-19,20
2020-04-26,0
2020-05-03,41
2020-05-10,41
2020-05-17,21
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,24
2020-07-19,0
2020-07-26,0
2020-08-02,48
2020-08-09,93
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,46
2020-09-13,0
2020-09-20,22
2020-09-27,24
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,79
2020-11-01,43
2020-11-08,99
2020-11-15,25
2020-11-22,26
2020-11-29,24
2020-12-06,25
2020-12-13,25
2020-12-20,0
2020-12-27,0
2021-01-03,100
2021-01-10,0
2021-01-17,0
2021-01-24,25
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,30
