Category: All categories

Week,covid depression: (New Jersey)
2020-03-01,0
2020-03-08,0
2020-03-15,21
2020-03-22,0
2020-03-29,39
2020-04-05,0
2020-04-12,20
2020-04-19,58
2020-04-26,75
2020-05-03,19
2020-05-10,0
2020-05-17,0
2020-05-24,21
2020-05-31,20
2020-06-07,20
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,43
2020-07-12,45
2020-07-19,22
2020-07-26,23
2020-08-02,46
2020-08-09,0
2020-08-16,23
2020-08-23,23
2020-08-30,68
2020-09-06,22
2020-09-13,0
2020-09-20,44
2020-09-27,23
2020-10-04,0
2020-10-11,79
2020-10-18,80
2020-10-25,26
2020-11-01,23
2020-11-08,100
2020-11-15,26
2020-11-22,26
2020-11-29,75
2020-12-06,50
2020-12-13,51
2020-12-20,54
2020-12-27,53
2021-01-03,73
2021-01-10,25
2021-01-17,25
2021-01-24,25
2021-01-31,52
2021-02-07,0
2021-02-14,52
2021-02-21,0
