Category: All categories

Week,covid depression: (New York)
2020-03-01,0
2020-03-08,0
2020-03-15,22
2020-03-22,34
2020-03-29,64
2020-04-05,22
2020-04-12,85
2020-04-19,65
2020-04-26,0
2020-05-03,31
2020-05-10,44
2020-05-17,0
2020-05-24,0
2020-05-31,31
2020-06-07,21
2020-06-14,0
2020-06-21,23
2020-06-28,24
2020-07-05,34
2020-07-12,23
2020-07-19,59
2020-07-26,24
2020-08-02,34
2020-08-09,34
2020-08-16,12
2020-08-23,47
2020-08-30,11
2020-09-06,55
2020-09-13,22
2020-09-20,45
2020-09-27,36
2020-10-04,12
2020-10-11,38
2020-10-18,13
2020-10-25,53
2020-11-01,11
2020-11-08,0
2020-11-15,13
2020-11-22,94
2020-11-29,100
2020-12-06,25
2020-12-13,25
2020-12-20,29
2020-12-27,28
2021-01-03,48
2021-01-10,36
2021-01-17,38
2021-01-24,13
2021-01-31,37
2021-02-07,75
2021-02-14,26
2021-02-21,15
