Category: All categories

Week,covid depression: (North Carolina)
2020-03-01,0
2020-03-08,53
2020-03-15,27
2020-03-22,75
2020-03-29,25
2020-04-05,100
2020-04-12,24
2020-04-19,67
2020-04-26,23
2020-05-03,48
2020-05-10,25
2020-05-17,25
2020-05-24,50
2020-05-31,25
2020-06-07,25
2020-06-14,26
2020-06-21,27
2020-06-28,0
2020-07-05,27
2020-07-12,55
2020-07-19,54
2020-07-26,27
2020-08-02,27
2020-08-09,27
2020-08-16,50
2020-08-23,0
2020-08-30,0
2020-09-06,25
2020-09-13,48
2020-09-20,0
2020-09-27,0
2020-10-04,27
2020-10-11,0
2020-10-18,61
2020-10-25,30
2020-11-01,26
2020-11-08,0
2020-11-15,60
2020-11-22,61
2020-11-29,29
2020-12-06,29
2020-12-13,30
2020-12-20,31
2020-12-27,60
2021-01-03,28
2021-01-10,28
2021-01-17,0
2021-01-24,57
2021-01-31,29
2021-02-07,29
2021-02-14,0
2021-02-21,0
