Category: All categories

Week,covid depression: (Ohio)
2020-03-01,0
2020-03-08,0
2020-03-15,37
2020-03-22,25
2020-03-29,0
2020-04-05,36
2020-04-12,36
2020-04-19,0
2020-04-26,12
2020-05-03,24
2020-05-10,24
2020-05-17,12
2020-05-24,13
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,53
2020-06-28,14
2020-07-05,14
2020-07-12,14
2020-07-19,14
2020-07-26,57
2020-08-02,0
2020-08-09,0
2020-08-16,28
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,38
2020-09-20,14
2020-09-27,14
2020-10-04,28
2020-10-11,31
2020-10-18,31
2020-10-25,15
2020-11-01,25
2020-11-08,29
2020-11-15,0
2020-11-22,30
2020-11-29,28
2020-12-06,71
2020-12-13,15
2020-12-20,15
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,14
2021-01-24,14
2021-01-31,100
2021-02-07,71
2021-02-14,15
2021-02-21,16
