Category: All categories

Week,covid depression: (Oregon)
2020-03-01,0
2020-03-08,0
2020-03-15,62
2020-03-22,31
2020-03-29,59
2020-04-05,60
2020-04-12,0
2020-04-19,28
2020-04-26,0
2020-05-03,29
2020-05-10,87
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,32
2020-07-12,0
2020-07-19,65
2020-07-26,33
2020-08-02,65
2020-08-09,0
2020-08-16,0
2020-08-23,32
2020-08-30,0
2020-09-06,29
2020-09-13,0
2020-09-20,0
2020-09-27,100
2020-10-04,34
2020-10-11,0
2020-10-18,38
2020-10-25,76
2020-11-01,0
2020-11-08,0
2020-11-15,36
2020-11-22,0
2020-11-29,36
2020-12-06,36
2020-12-13,74
2020-12-20,0
2020-12-27,0
2021-01-03,70
2021-01-10,36
2021-01-17,0
2021-01-24,0
2021-01-31,36
2021-02-07,36
2021-02-14,37
2021-02-21,0
