Category: All categories

Week,covid depression: (Pennsylvania)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,52
2020-03-29,74
2020-04-05,100
2020-04-12,71
2020-04-19,0
2020-04-26,24
2020-05-03,72
2020-05-10,0
2020-05-17,50
2020-05-24,78
2020-05-31,75
2020-06-07,52
2020-06-14,80
2020-06-21,27
2020-06-28,28
2020-07-05,27
2020-07-12,0
2020-07-19,83
2020-07-26,28
2020-08-02,28
2020-08-09,56
2020-08-16,0
2020-08-23,82
2020-08-30,27
2020-09-06,83
2020-09-13,27
2020-09-20,26
2020-09-27,28
2020-10-04,0
2020-10-11,31
2020-10-18,95
2020-10-25,30
2020-11-01,0
2020-11-08,0
2020-11-15,30
2020-11-22,59
2020-11-29,58
2020-12-06,89
2020-12-13,90
2020-12-20,94
2020-12-27,92
2021-01-03,86
2021-01-10,58
2021-01-17,58
2021-01-24,0
2021-01-31,59
2021-02-07,90
2021-02-14,89
2021-02-21,0
