Category: All categories

Week,covid depression: (Tennessee)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,22
2020-03-29,22
2020-04-05,0
2020-04-12,21
2020-04-19,22
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,22
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,23
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,24
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,23
2020-08-23,66
2020-08-30,0
2020-09-06,70
2020-09-13,22
2020-09-20,0
2020-09-27,24
2020-10-04,0
2020-10-11,0
2020-10-18,26
2020-10-25,25
2020-11-01,0
2020-11-08,49
2020-11-15,0
2020-11-22,26
2020-11-29,25
2020-12-06,100
2020-12-13,25
2020-12-20,0
2020-12-27,26
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,25
2021-01-31,0
2021-02-07,0
2021-02-14,24
2021-02-21,0
