Category: All categories

Week,covid depression: (Texas)
2020-03-01,0
2020-03-08,27
2020-03-15,40
2020-03-22,25
2020-03-29,86
2020-04-05,88
2020-04-12,12
2020-04-19,85
2020-04-26,62
2020-05-03,49
2020-05-10,37
2020-05-17,51
2020-05-24,39
2020-05-31,52
2020-06-07,26
2020-06-14,40
2020-06-21,66
2020-06-28,68
2020-07-05,14
2020-07-12,27
2020-07-19,56
2020-07-26,70
2020-08-02,55
2020-08-09,41
2020-08-16,26
2020-08-23,25
2020-08-30,12
2020-09-06,64
2020-09-13,61
2020-09-20,12
2020-09-27,81
2020-10-04,28
2020-10-11,61
2020-10-18,47
2020-10-25,61
2020-11-01,25
2020-11-08,29
2020-11-15,90
2020-11-22,31
2020-11-29,43
2020-12-06,29
2020-12-13,30
2020-12-20,16
2020-12-27,75
2021-01-03,42
2021-01-10,57
2021-01-17,57
2021-01-24,100
2021-01-31,58
2021-02-07,58
2021-02-14,31
2021-02-21,50
