Category: All categories

Week,covid depression: (Virginia)
2020-03-01,0
2020-03-08,0
2020-03-15,30
2020-03-22,57
2020-03-29,0
2020-04-05,0
2020-04-12,84
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,29
2020-05-17,0
2020-05-24,29
2020-05-31,0
2020-06-07,29
2020-06-14,30
2020-06-21,0
2020-06-28,32
2020-07-05,0
2020-07-12,31
2020-07-19,0
2020-07-26,61
2020-08-02,0
2020-08-09,0
2020-08-16,61
2020-08-23,30
2020-08-30,60
2020-09-06,29
2020-09-13,0
2020-09-20,0
2020-09-27,30
2020-10-04,93
2020-10-11,99
2020-10-18,33
2020-10-25,34
2020-11-01,29
2020-11-08,0
2020-11-15,0
2020-11-22,73
2020-11-29,66
2020-12-06,33
2020-12-13,0
2020-12-20,0
2020-12-27,72
2021-01-03,66
2021-01-10,0
2021-01-17,33
2021-01-24,66
2021-01-31,33
2021-02-07,65
2021-02-14,100
2021-02-21,0
