Category: All categories

Week,covid depression: (Washington)
2020-03-01,0
2020-03-08,0
2020-03-15,26
2020-03-22,25
2020-03-29,50
2020-04-05,78
2020-04-12,51
2020-04-19,74
2020-04-26,24
2020-05-03,100
2020-05-10,25
2020-05-17,25
2020-05-24,26
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,26
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,56
2020-07-26,28
2020-08-02,27
2020-08-09,28
2020-08-16,55
2020-08-23,28
2020-08-30,26
2020-09-06,77
2020-09-13,25
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,31
2020-10-18,31
2020-10-25,62
2020-11-01,25
2020-11-08,0
2020-11-15,0
2020-11-22,94
2020-11-29,0
2020-12-06,62
2020-12-13,31
2020-12-20,0
2020-12-27,61
2021-01-03,29
2021-01-10,0
2021-01-17,0
2021-01-24,30
2021-01-31,0
2021-02-07,0
2021-02-14,31
2021-02-21,34
