Category: All categories

Week,covid depression: (Wisconsin)
2020-03-01,0
2020-03-08,0
2020-03-15,29
2020-03-22,28
2020-03-29,27
2020-04-05,55
2020-04-12,53
2020-04-19,0
2020-04-26,0
2020-05-03,81
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,32
2020-07-26,94
2020-08-02,63
2020-08-09,31
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,30
2020-09-27,0
2020-10-04,97
2020-10-11,35
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,100
2020-11-15,68
2020-11-22,35
2020-11-29,64
2020-12-06,0
2020-12-13,0
2020-12-20,73
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,33
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,69
2021-02-21,0
