Category: All categories

Week,Online Dating: (Alabama)
2020-03-01,0
2020-03-08,0
2020-03-15,23
2020-03-22,89
2020-03-29,43
2020-04-05,42
2020-04-12,41
2020-04-19,40
2020-04-26,0
2020-05-03,41
2020-05-10,0
2020-05-17,21
2020-05-24,0
2020-05-31,0
2020-06-07,43
2020-06-14,44
2020-06-21,0
2020-06-28,0
2020-07-05,23
2020-07-12,0
2020-07-19,23
2020-07-26,0
2020-08-02,68
2020-08-09,46
2020-08-16,45
2020-08-23,0
2020-08-30,85
2020-09-06,66
2020-09-13,44
2020-09-20,0
2020-09-27,23
2020-10-04,23
2020-10-11,100
2020-10-18,25
2020-10-25,0
2020-11-01,43
2020-11-08,0
2020-11-15,24
2020-11-22,50
2020-11-29,0
2020-12-06,48
2020-12-13,25
2020-12-20,0
2020-12-27,24
2021-01-03,23
2021-01-10,47
2021-01-17,0
2021-01-24,72
2021-01-31,24
2021-02-07,0
2021-02-14,24
2021-02-21,28
