Category: All categories

Week,Online Dating: (Arkansas)
2020-03-01,33
2020-03-08,32
2020-03-15,31
2020-03-22,0
2020-03-29,0
2020-04-05,61
2020-04-12,30
2020-04-19,0
2020-04-26,31
2020-05-03,31
2020-05-10,31
2020-05-17,32
2020-05-24,32
2020-05-31,32
2020-06-07,95
2020-06-14,66
2020-06-21,100
2020-06-28,34
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,70
2020-08-09,69
2020-08-16,36
2020-08-23,0
2020-08-30,30
2020-09-06,0
2020-09-13,0
2020-09-20,63
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,38
2020-10-25,77
2020-11-01,33
2020-11-08,36
2020-11-15,0
2020-11-22,39
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,35
2021-01-17,35
2021-01-24,71
2021-01-31,36
2021-02-07,70
2021-02-14,0
2021-02-21,0
