Category: All categories

Week,Online Dating: (California)
2020-03-01,66
2020-03-08,38
2020-03-15,64
2020-03-22,67
2020-03-29,56
2020-04-05,86
2020-04-12,58
2020-04-19,61
2020-04-26,48
2020-05-03,68
2020-05-10,45
2020-05-17,68
2020-05-24,43
2020-05-31,48
2020-06-07,69
2020-06-14,71
2020-06-21,48
2020-06-28,81
2020-07-05,60
2020-07-12,49
2020-07-19,53
2020-07-26,61
2020-08-02,46
2020-08-09,49
2020-08-16,57
2020-08-23,73
2020-08-30,53
2020-09-06,47
2020-09-13,73
2020-09-20,71
2020-09-27,58
2020-10-04,41
2020-10-11,74
2020-10-18,46
2020-10-25,51
2020-11-01,58
2020-11-08,61
2020-11-15,45
2020-11-22,59
2020-11-29,57
2020-12-06,28
2020-12-13,57
2020-12-20,40
2020-12-27,42
2021-01-03,44
2021-01-10,68
2021-01-17,76
2021-01-24,44
2021-01-31,66
2021-02-07,21
2021-02-14,55
2021-02-21,100
