Category: All categories

Week,Online Dating: (Colorado)
2020-03-01,17
2020-03-08,49
2020-03-15,0
2020-03-22,64
2020-03-29,47
2020-04-05,48
2020-04-12,15
2020-04-19,46
2020-04-26,16
2020-05-03,31
2020-05-10,0
2020-05-17,49
2020-05-24,100
2020-05-31,64
2020-06-07,16
2020-06-14,66
2020-06-21,67
2020-06-28,51
2020-07-05,68
2020-07-12,84
2020-07-19,34
2020-07-26,0
2020-08-02,33
2020-08-09,33
2020-08-16,16
2020-08-23,63
2020-08-30,79
2020-09-06,0
2020-09-13,80
2020-09-20,16
2020-09-27,35
2020-10-04,18
2020-10-11,80
2020-10-18,80
2020-10-25,19
2020-11-01,0
2020-11-08,37
2020-11-15,77
2020-11-22,20
2020-11-29,37
2020-12-06,18
2020-12-13,76
2020-12-20,0
2020-12-27,76
2021-01-03,90
2021-01-10,0
2021-01-17,37
2021-01-24,55
2021-01-31,19
2021-02-07,0
2021-02-14,75
2021-02-21,43
