Category: All categories

Week,Online Dating: (Connecticut)
2020-03-01,70
2020-03-08,23
2020-03-15,22
2020-03-22,0
2020-03-29,61
2020-04-05,0
2020-04-12,21
2020-04-19,20
2020-04-26,40
2020-05-03,0
2020-05-10,42
2020-05-17,21
2020-05-24,64
2020-05-31,21
2020-06-07,21
2020-06-14,45
2020-06-21,69
2020-06-28,46
2020-07-05,23
2020-07-12,0
2020-07-19,0
2020-07-26,23
2020-08-02,77
2020-08-09,24
2020-08-16,24
2020-08-23,46
2020-08-30,23
2020-09-06,46
2020-09-13,0
2020-09-20,45
2020-09-27,70
2020-10-04,24
2020-10-11,54
2020-10-18,54
2020-10-25,80
2020-11-01,45
2020-11-08,25
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,26
2020-12-20,0
2020-12-27,0
2021-01-03,74
2021-01-10,50
2021-01-17,25
2021-01-24,100
2021-01-31,0
2021-02-07,51
2021-02-14,26
2021-02-21,30
