Category: All categories

Week,Online Dating: (District of Columbia)
2020-03-01,34
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,43
2020-04-05,0
2020-04-12,44
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,45
2020-05-24,97
2020-05-31,88
2020-06-07,46
2020-06-14,94
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,49
2020-07-19,97
2020-07-26,0
2020-08-02,50
2020-08-09,0
2020-08-16,48
2020-08-23,0
2020-08-30,46
2020-09-06,49
2020-09-13,46
2020-09-20,47
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,100
2020-11-08,54
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,70
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,57
2021-02-07,0
2021-02-14,59
2021-02-21,66
