Category: All categories

Week,Online Dating: (Florida)
2020-03-01,39
2020-03-08,38
2020-03-15,49
2020-03-22,49
2020-03-29,100
2020-04-05,53
2020-04-12,62
2020-04-19,51
2020-04-26,47
2020-05-03,42
2020-05-10,48
2020-05-17,21
2020-05-24,54
2020-05-31,42
2020-06-07,44
2020-06-14,33
2020-06-21,29
2020-06-28,46
2020-07-05,35
2020-07-12,47
2020-07-19,53
2020-07-26,48
2020-08-02,53
2020-08-09,78
2020-08-16,65
2020-08-23,51
2020-08-30,62
2020-09-06,69
2020-09-13,62
2020-09-20,46
2020-09-27,18
2020-10-04,36
2020-10-11,51
2020-10-18,38
2020-10-25,51
2020-11-01,32
2020-11-08,42
2020-11-15,100
2020-11-22,26
2020-11-29,18
2020-12-06,18
2020-12-13,81
2020-12-20,47
2020-12-27,49
2021-01-03,29
2021-01-10,35
2021-01-17,30
2021-01-24,42
2021-01-31,36
2021-02-07,23
2021-02-14,23
2021-02-21,54
