Category: All categories

Week,Online Dating: (Georgia)
2020-03-01,86
2020-03-08,21
2020-03-15,20
2020-03-22,51
2020-03-29,10
2020-04-05,73
2020-04-12,59
2020-04-19,92
2020-04-26,61
2020-05-03,49
2020-05-10,51
2020-05-17,30
2020-05-24,52
2020-05-31,41
2020-06-07,10
2020-06-14,41
2020-06-21,42
2020-06-28,43
2020-07-05,32
2020-07-12,32
2020-07-19,53
2020-07-26,43
2020-08-02,21
2020-08-09,42
2020-08-16,90
2020-08-23,69
2020-08-30,100
2020-09-06,52
2020-09-13,48
2020-09-20,41
2020-09-27,32
2020-10-04,32
2020-10-11,80
2020-10-18,35
2020-10-25,47
2020-11-01,20
2020-11-08,44
2020-11-15,35
2020-11-22,60
2020-11-29,34
2020-12-06,11
2020-12-13,35
2020-12-20,13
2020-12-27,82
2021-01-03,22
2021-01-10,78
2021-01-17,23
2021-01-24,22
2021-01-31,45
2021-02-07,34
2021-02-14,47
2021-02-21,40
