Category: All categories

Week,Online Dating: (Indiana)
2020-03-01,15
2020-03-08,30
2020-03-15,30
2020-03-22,30
2020-03-29,15
2020-04-05,29
2020-04-12,14
2020-04-19,27
2020-04-26,69
2020-05-03,14
2020-05-10,42
2020-05-17,14
2020-05-24,61
2020-05-31,15
2020-06-07,0
2020-06-14,16
2020-06-21,16
2020-06-28,33
2020-07-05,49
2020-07-12,100
2020-07-19,67
2020-07-26,49
2020-08-02,33
2020-08-09,0
2020-08-16,15
2020-08-23,58
2020-08-30,15
2020-09-06,15
2020-09-13,45
2020-09-20,15
2020-09-27,46
2020-10-04,0
2020-10-11,54
2020-10-18,0
2020-10-25,17
2020-11-01,29
2020-11-08,50
2020-11-15,0
2020-11-22,34
2020-11-29,33
2020-12-06,0
2020-12-13,17
2020-12-20,18
2020-12-27,0
2021-01-03,48
2021-01-10,50
2021-01-17,33
2021-01-24,16
2021-01-31,16
2021-02-07,33
2021-02-14,0
2021-02-21,0
