Category: All categories

Week,Online Dating: (Iowa)
2020-03-01,45
2020-03-08,0
2020-03-15,46
2020-03-22,21
2020-03-29,22
2020-04-05,22
2020-04-12,0
2020-04-19,0
2020-04-26,21
2020-05-03,0
2020-05-10,41
2020-05-17,0
2020-05-24,22
2020-05-31,21
2020-06-07,43
2020-06-14,0
2020-06-21,23
2020-06-28,23
2020-07-05,71
2020-07-12,47
2020-07-19,24
2020-07-26,24
2020-08-02,0
2020-08-09,0
2020-08-16,24
2020-08-23,21
2020-08-30,0
2020-09-06,43
2020-09-13,43
2020-09-20,0
2020-09-27,70
2020-10-04,24
2020-10-11,26
2020-10-18,0
2020-10-25,78
2020-11-01,0
2020-11-08,49
2020-11-15,50
2020-11-22,100
2020-11-29,0
2020-12-06,25
2020-12-13,0
2020-12-20,53
2020-12-27,50
2021-01-03,0
2021-01-10,49
2021-01-17,24
2021-01-24,24
2021-01-31,24
2021-02-07,24
2021-02-14,0
2021-02-21,0
