Category: All categories

Week,Online Dating: (Minnesota)
2020-03-01,35
2020-03-08,35
2020-03-15,17
2020-03-22,66
2020-03-29,48
2020-04-05,64
2020-04-12,77
2020-04-19,15
2020-04-26,0
2020-05-03,16
2020-05-10,0
2020-05-17,32
2020-05-24,0
2020-05-31,33
2020-06-07,17
2020-06-14,0
2020-06-21,18
2020-06-28,0
2020-07-05,37
2020-07-12,19
2020-07-19,37
2020-07-26,37
2020-08-02,37
2020-08-09,36
2020-08-16,56
2020-08-23,55
2020-08-30,55
2020-09-06,0
2020-09-13,35
2020-09-20,69
2020-09-27,55
2020-10-04,39
2020-10-11,42
2020-10-18,21
2020-10-25,62
2020-11-01,17
2020-11-08,19
2020-11-15,59
2020-11-22,100
2020-11-29,0
2020-12-06,20
2020-12-13,78
2020-12-20,43
2020-12-27,42
2021-01-03,59
2021-01-10,39
2021-01-17,20
2021-01-24,20
2021-01-31,40
2021-02-07,0
2021-02-14,20
2021-02-21,0
