Category: All categories

Week,Online Dating: (Missouri)
2020-03-01,16
2020-03-08,0
2020-03-15,15
2020-03-22,44
2020-03-29,100
2020-04-05,15
2020-04-12,14
2020-04-19,42
2020-04-26,43
2020-05-03,0
2020-05-10,15
2020-05-17,44
2020-05-24,15
2020-05-31,45
2020-06-07,15
2020-06-14,0
2020-06-21,16
2020-06-28,98
2020-07-05,65
2020-07-12,33
2020-07-19,66
2020-07-26,33
2020-08-02,33
2020-08-09,33
2020-08-16,50
2020-08-23,32
2020-08-30,77
2020-09-06,31
2020-09-13,0
2020-09-20,47
2020-09-27,17
2020-10-04,17
2020-10-11,37
2020-10-18,37
2020-10-25,73
2020-11-01,30
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,36
2020-12-06,18
2020-12-13,37
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,18
2021-01-17,18
2021-01-24,0
2021-01-31,36
2021-02-07,18
2021-02-14,0
2021-02-21,43
