Category: All categories

Week,Online Dating: (New Jersey)
2020-03-01,52
2020-03-08,85
2020-03-15,32
2020-03-22,75
2020-03-29,59
2020-04-05,61
2020-04-12,60
2020-04-19,58
2020-04-26,43
2020-05-03,57
2020-05-10,75
2020-05-17,59
2020-05-24,46
2020-05-31,30
2020-06-07,30
2020-06-14,78
2020-06-21,80
2020-06-28,82
2020-07-05,98
2020-07-12,100
2020-07-19,49
2020-07-26,68
2020-08-02,68
2020-08-09,86
2020-08-16,35
2020-08-23,86
2020-08-30,50
2020-09-06,66
2020-09-13,63
2020-09-20,32
2020-09-27,35
2020-10-04,36
2020-10-11,79
2020-10-18,60
2020-10-25,98
2020-11-01,86
2020-11-08,94
2020-11-15,58
2020-11-22,78
2020-11-29,73
2020-12-06,76
2020-12-13,58
2020-12-20,40
2020-12-27,79
2021-01-03,73
2021-01-10,76
2021-01-17,57
2021-01-24,19
2021-01-31,20
2021-02-07,96
2021-02-14,39
2021-02-21,0
