Category: All categories

Week,Online Dating: (New Mexico)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,43
2020-04-12,0
2020-04-19,0
2020-04-26,41
2020-05-03,0
2020-05-10,85
2020-05-17,0
2020-05-24,44
2020-05-31,82
2020-06-07,85
2020-06-14,44
2020-06-21,44
2020-06-28,0
2020-07-05,0
2020-07-12,90
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,44
2020-08-16,43
2020-08-23,42
2020-08-30,43
2020-09-06,0
2020-09-13,42
2020-09-20,86
2020-09-27,0
2020-10-04,47
2020-10-11,100
2020-10-18,0
2020-10-25,50
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,52
2020-11-29,0
2020-12-06,51
2020-12-13,52
2020-12-20,54
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,50
2021-01-31,51
2021-02-07,51
2021-02-14,0
2021-02-21,61
