Category: All categories

Week,Online Dating: (New York)
2020-03-01,33
2020-03-08,16
2020-03-15,44
2020-03-22,28
2020-03-29,65
2020-04-05,69
2020-04-12,53
2020-04-19,64
2020-04-26,54
2020-05-03,31
2020-05-10,27
2020-05-17,44
2020-05-24,29
2020-05-31,46
2020-06-07,62
2020-06-14,57
2020-06-21,75
2020-06-28,59
2020-07-05,76
2020-07-12,66
2020-07-19,65
2020-07-26,41
2020-08-02,84
2020-08-09,95
2020-08-16,40
2020-08-23,69
2020-08-30,100
2020-09-06,80
2020-09-13,55
2020-09-20,50
2020-09-27,29
2020-10-04,68
2020-10-11,25
2020-10-18,45
2020-10-25,46
2020-11-01,37
2020-11-08,66
2020-11-15,45
2020-11-22,59
2020-11-29,62
2020-12-06,43
2020-12-13,43
2020-12-20,28
2020-12-27,75
2021-01-03,48
2021-01-10,24
2021-01-17,56
2021-01-24,24
2021-01-31,43
2021-02-07,31
2021-02-14,50
2021-02-21,57
