Category: All categories

Week,Online Dating: (North Carolina)
2020-03-01,55
2020-03-08,56
2020-03-15,45
2020-03-22,73
2020-03-29,31
2020-04-05,64
2020-04-12,31
2020-04-19,84
2020-04-26,39
2020-05-03,41
2020-05-10,32
2020-05-17,10
2020-05-24,21
2020-05-31,53
2020-06-07,31
2020-06-14,65
2020-06-21,33
2020-06-28,23
2020-07-05,58
2020-07-12,23
2020-07-19,46
2020-07-26,35
2020-08-02,23
2020-08-09,68
2020-08-16,31
2020-08-23,21
2020-08-30,41
2020-09-06,86
2020-09-13,92
2020-09-20,31
2020-09-27,34
2020-10-04,35
2020-10-11,76
2020-10-18,13
2020-10-25,13
2020-11-01,33
2020-11-08,100
2020-11-15,25
2020-11-22,91
2020-11-29,73
2020-12-06,62
2020-12-13,12
2020-12-20,14
2020-12-27,50
2021-01-03,36
2021-01-10,36
2021-01-17,24
2021-01-24,36
2021-01-31,24
2021-02-07,48
2021-02-14,25
2021-02-21,29
