Category: All categories

Week,Online Dating: (Oregon)
2020-03-01,100
2020-03-08,40
2020-03-15,20
2020-03-22,19
2020-03-29,19
2020-04-05,38
2020-04-12,19
2020-04-19,36
2020-04-26,0
2020-05-03,19
2020-05-10,18
2020-05-17,18
2020-05-24,19
2020-05-31,55
2020-06-07,18
2020-06-14,38
2020-06-21,20
2020-06-28,20
2020-07-05,0
2020-07-12,41
2020-07-19,0
2020-07-26,21
2020-08-02,20
2020-08-09,21
2020-08-16,61
2020-08-23,83
2020-08-30,21
2020-09-06,55
2020-09-13,0
2020-09-20,39
2020-09-27,64
2020-10-04,64
2020-10-11,48
2020-10-18,24
2020-10-25,24
2020-11-01,19
2020-11-08,45
2020-11-15,69
2020-11-22,23
2020-11-29,23
2020-12-06,46
2020-12-13,47
2020-12-20,0
2020-12-27,70
2021-01-03,22
2021-01-10,0
2021-01-17,0
2021-01-24,23
2021-01-31,0
2021-02-07,69
2021-02-14,72
2021-02-21,0
