Category: All categories

Week,Online Dating: (Pennsylvania)
2020-03-01,27
2020-03-08,56
2020-03-15,27
2020-03-22,34
2020-03-29,25
2020-04-05,34
2020-04-12,32
2020-04-19,63
2020-04-26,40
2020-05-03,47
2020-05-10,8
2020-05-17,33
2020-05-24,69
2020-05-31,50
2020-06-07,17
2020-06-14,63
2020-06-21,18
2020-06-28,47
2020-07-05,100
2020-07-12,9
2020-07-19,37
2020-07-26,28
2020-08-02,28
2020-08-09,56
2020-08-16,67
2020-08-23,27
2020-08-30,27
2020-09-06,37
2020-09-13,36
2020-09-20,18
2020-09-27,84
2020-10-04,29
2020-10-11,42
2020-10-18,54
2020-10-25,21
2020-11-01,34
2020-11-08,28
2020-11-15,39
2020-11-22,60
2020-11-29,39
2020-12-06,20
2020-12-13,50
2020-12-20,21
2020-12-27,40
2021-01-03,58
2021-01-10,29
2021-01-17,20
2021-01-24,48
2021-01-31,78
2021-02-07,60
2021-02-14,40
2021-02-21,24
