Category: All categories

Week,Online Dating: (South Carolina)
2020-03-01,17
2020-03-08,17
2020-03-15,0
2020-03-22,100
2020-03-29,17
2020-04-05,0
2020-04-12,66
2020-04-19,31
2020-04-26,33
2020-05-03,33
2020-05-10,67
2020-05-17,16
2020-05-24,49
2020-05-31,33
2020-06-07,66
2020-06-14,34
2020-06-21,52
2020-06-28,18
2020-07-05,18
2020-07-12,55
2020-07-19,0
2020-07-26,73
2020-08-02,55
2020-08-09,36
2020-08-16,0
2020-08-23,17
2020-08-30,52
2020-09-06,52
2020-09-13,67
2020-09-20,34
2020-09-27,72
2020-10-04,37
2020-10-11,60
2020-10-18,20
2020-10-25,20
2020-11-01,35
2020-11-08,76
2020-11-15,20
2020-11-22,0
2020-11-29,0
2020-12-06,39
2020-12-13,0
2020-12-20,42
2020-12-27,19
2021-01-03,18
2021-01-10,19
2021-01-17,19
2021-01-24,0
2021-01-31,38
2021-02-07,19
2021-02-14,19
2021-02-21,0
