Category: All categories

Week,Online Dating: (Tennessee)
2020-03-01,100
2020-03-08,29
2020-03-15,44
2020-03-22,42
2020-03-29,14
2020-04-05,56
2020-04-12,40
2020-04-19,80
2020-04-26,54
2020-05-03,27
2020-05-10,42
2020-05-17,27
2020-05-24,29
2020-05-31,28
2020-06-07,0
2020-06-14,29
2020-06-21,43
2020-06-28,0
2020-07-05,30
2020-07-12,30
2020-07-19,30
2020-07-26,60
2020-08-02,15
2020-08-09,88
2020-08-16,58
2020-08-23,14
2020-08-30,14
2020-09-06,29
2020-09-13,42
2020-09-20,57
2020-09-27,15
2020-10-04,46
2020-10-11,66
2020-10-18,65
2020-10-25,32
2020-11-01,0
2020-11-08,0
2020-11-15,32
2020-11-22,0
2020-11-29,77
2020-12-06,47
2020-12-13,31
2020-12-20,17
2020-12-27,16
2021-01-03,0
2021-01-10,15
2021-01-17,15
2021-01-24,0
2021-01-31,30
2021-02-07,29
2021-02-14,44
2021-02-21,36
