Category: All categories

Week,Online Dating: (Utah)
2020-03-01,34
2020-03-08,100
2020-03-15,32
2020-03-22,62
2020-03-29,31
2020-04-05,0
2020-04-12,30
2020-04-19,62
2020-04-26,94
2020-05-03,0
2020-05-10,32
2020-05-17,99
2020-05-24,34
2020-05-31,65
2020-06-07,33
2020-06-14,69
2020-06-21,35
2020-06-28,35
2020-07-05,0
2020-07-12,36
2020-07-19,0
2020-07-26,36
2020-08-02,36
2020-08-09,72
2020-08-16,0
2020-08-23,34
2020-08-30,33
2020-09-06,34
2020-09-13,32
2020-09-20,33
2020-09-27,36
2020-10-04,0
2020-10-11,41
2020-10-18,0
2020-10-25,40
2020-11-01,32
2020-11-08,37
2020-11-15,39
2020-11-22,0
2020-11-29,77
2020-12-06,39
2020-12-13,79
2020-12-20,43
2020-12-27,0
2021-01-03,76
2021-01-10,39
2021-01-17,39
2021-01-24,0
2021-01-31,38
2021-02-07,77
2021-02-14,39
2021-02-21,0
