Category: All categories

Week,Online Dating: (Washington)
2020-03-01,43
2020-03-08,43
2020-03-15,43
2020-03-22,55
2020-03-29,54
2020-04-05,84
2020-04-12,96
2020-04-19,40
2020-04-26,26
2020-05-03,54
2020-05-10,27
2020-05-17,94
2020-05-24,27
2020-05-31,52
2020-06-07,26
2020-06-14,69
2020-06-21,88
2020-06-28,15
2020-07-05,15
2020-07-12,31
2020-07-19,61
2020-07-26,45
2020-08-02,89
2020-08-09,15
2020-08-16,59
2020-08-23,45
2020-08-30,72
2020-09-06,70
2020-09-13,67
2020-09-20,14
2020-09-27,45
2020-10-04,46
2020-10-11,17
2020-10-18,100
2020-10-25,51
2020-11-01,14
2020-11-08,48
2020-11-15,96
2020-11-22,68
2020-11-29,17
2020-12-06,50
2020-12-13,34
2020-12-20,54
2020-12-27,33
2021-01-03,0
2021-01-10,64
2021-01-17,16
2021-01-24,32
2021-01-31,32
2021-02-07,32
2021-02-14,66
2021-02-21,56
