Category: All categories

Week,Tinder: (Alabama)
2020-03-01,53
2020-03-08,59
2020-03-15,87
2020-03-22,70
2020-03-29,56
2020-04-05,38
2020-04-12,62
2020-04-19,41
2020-04-26,68
2020-05-03,54
2020-05-10,65
2020-05-17,60
2020-05-24,54
2020-05-31,47
2020-06-07,44
2020-06-14,73
2020-06-21,79
2020-06-28,89
2020-07-05,57
2020-07-12,73
2020-07-19,66
2020-07-26,66
2020-08-02,50
2020-08-09,50
2020-08-16,58
2020-08-23,55
2020-08-30,64
2020-09-06,96
2020-09-13,54
2020-09-20,52
2020-09-27,64
2020-10-04,35
2020-10-11,72
2020-10-18,81
2020-10-25,56
2020-11-01,50
2020-11-08,56
2020-11-15,34
2020-11-22,76
2020-11-29,62
2020-12-06,49
2020-12-13,48
2020-12-20,50
2020-12-27,46
2021-01-03,38
2021-01-10,45
2021-01-17,55
2021-01-24,39
2021-01-31,59
2021-02-07,52
2021-02-14,63
2021-02-21,83
2021-02-28,100
