Category: All categories

Week,Tinder: (Alaska)
2020-03-01,30
2020-03-08,30
2020-03-15,38
2020-03-22,17
2020-03-29,50
2020-04-05,25
2020-04-12,25
2020-04-19,24
2020-04-26,34
2020-05-03,35
2020-05-10,63
2020-05-17,36
2020-05-24,19
2020-05-31,9
2020-06-07,10
2020-06-14,19
2020-06-21,50
2020-06-28,31
2020-07-05,60
2020-07-12,10
2020-07-19,100
2020-07-26,0
2020-08-02,49
2020-08-09,60
2020-08-16,20
2020-08-23,46
2020-08-30,19
2020-09-06,49
2020-09-13,47
2020-09-20,68
2020-09-27,41
2020-10-04,32
2020-10-11,0
2020-10-18,47
2020-10-25,35
2020-11-01,19
2020-11-08,33
2020-11-15,11
2020-11-22,23
2020-11-29,66
2020-12-06,11
2020-12-13,57
2020-12-20,49
2020-12-27,24
2021-01-03,43
2021-01-10,56
2021-01-17,80
2021-01-24,0
2021-01-31,0
2021-02-07,23
2021-02-14,12
2021-02-21,46
2021-02-28,0
