Category: All categories

Week,Tinder: (Arizona)
2020-03-01,55
2020-03-08,62
2020-03-15,77
2020-03-22,79
2020-03-29,78
2020-04-05,72
2020-04-12,92
2020-04-19,80
2020-04-26,93
2020-05-03,79
2020-05-10,89
2020-05-17,69
2020-05-24,77
2020-05-31,61
2020-06-07,71
2020-06-14,85
2020-06-21,71
2020-06-28,83
2020-07-05,69
2020-07-12,75
2020-07-19,65
2020-07-26,75
2020-08-02,81
2020-08-09,71
2020-08-16,49
2020-08-23,81
2020-08-30,65
2020-09-06,68
2020-09-13,58
2020-09-20,69
2020-09-27,67
2020-10-04,68
2020-10-11,87
2020-10-18,91
2020-10-25,78
2020-11-01,51
2020-11-08,83
2020-11-15,74
2020-11-22,64
2020-11-29,69
2020-12-06,54
2020-12-13,44
2020-12-20,66
2020-12-27,70
2021-01-03,58
2021-01-10,56
2021-01-17,72
2021-01-24,64
2021-01-31,69
2021-02-07,91
2021-02-14,75
2021-02-21,79
2021-02-28,100
