Category: All categories

Week,Tinder: (Arkansas)
2020-03-01,15
2020-03-08,29
2020-03-15,12
2020-03-22,30
2020-03-29,35
2020-04-05,21
2020-04-12,25
2020-04-19,27
2020-04-26,21
2020-05-03,14
2020-05-10,30
2020-05-17,22
2020-05-24,27
2020-05-31,24
2020-06-07,41
2020-06-14,27
2020-06-21,33
2020-06-28,8
2020-07-05,29
2020-07-12,32
2020-07-19,21
2020-07-26,21
2020-08-02,19
2020-08-09,18
2020-08-16,32
2020-08-23,17
2020-08-30,32
2020-09-06,27
2020-09-13,31
2020-09-20,24
2020-09-27,13
2020-10-04,23
2020-10-11,35
2020-10-18,46
2020-10-25,26
2020-11-01,12
2020-11-08,33
2020-11-15,20
2020-11-22,23
2020-11-29,16
2020-12-06,41
2020-12-13,25
2020-12-20,6
2020-12-27,27
2021-01-03,29
2021-01-10,34
2021-01-17,19
2021-01-24,32
2021-01-31,30
2021-02-07,24
2021-02-14,22
2021-02-21,24
2021-02-28,100
