Category: All categories

Week,Tinder: (Colorado)
2020-03-01,73
2020-03-08,75
2020-03-15,75
2020-03-22,79
2020-03-29,90
2020-04-05,86
2020-04-12,77
2020-04-19,58
2020-04-26,88
2020-05-03,60
2020-05-10,76
2020-05-17,74
2020-05-24,67
2020-05-31,82
2020-06-07,64
2020-06-14,65
2020-06-21,71
2020-06-28,79
2020-07-05,91
2020-07-12,83
2020-07-19,91
2020-07-26,89
2020-08-02,65
2020-08-09,60
2020-08-16,72
2020-08-23,64
2020-08-30,55
2020-09-06,92
2020-09-13,72
2020-09-20,55
2020-09-27,50
2020-10-04,72
2020-10-11,66
2020-10-18,64
2020-10-25,48
2020-11-01,46
2020-11-08,45
2020-11-15,61
2020-11-22,61
2020-11-29,60
2020-12-06,100
2020-12-13,90
2020-12-20,61
2020-12-27,71
2021-01-03,56
2021-01-10,74
2021-01-17,73
2021-01-24,80
2021-01-31,63
2021-02-07,80
2021-02-14,46
2021-02-21,73
2021-02-28,35
