Category: All categories

Week,Tinder: (Connecticut)
2020-03-01,60
2020-03-08,51
2020-03-15,73
2020-03-22,69
2020-03-29,41
2020-04-05,45
2020-04-12,94
2020-04-19,79
2020-04-26,58
2020-05-03,39
2020-05-10,51
2020-05-17,59
2020-05-24,79
2020-05-31,53
2020-06-07,57
2020-06-14,58
2020-06-21,96
2020-06-28,72
2020-07-05,100
2020-07-12,38
2020-07-19,82
2020-07-26,73
2020-08-02,42
2020-08-09,49
2020-08-16,86
2020-08-23,67
2020-08-30,65
2020-09-06,77
2020-09-13,33
2020-09-20,54
2020-09-27,55
2020-10-04,60
2020-10-11,36
2020-10-18,58
2020-10-25,40
2020-11-01,52
2020-11-08,86
2020-11-15,56
2020-11-22,39
2020-11-29,95
2020-12-06,68
2020-12-13,60
2020-12-20,55
2020-12-27,71
2021-01-03,63
2021-01-10,68
2021-01-17,41
2021-01-24,65
2021-01-31,66
2021-02-07,59
2021-02-14,46
2021-02-21,45
2021-02-28,52
