Category: All categories

Week,Tinder: (Delaware)
2020-03-01,72
2020-03-08,49
2020-03-15,70
2020-03-22,65
2020-03-29,53
2020-04-05,21
2020-04-12,52
2020-04-19,73
2020-04-26,42
2020-05-03,20
2020-05-10,21
2020-05-17,52
2020-05-24,87
2020-05-31,73
2020-06-07,63
2020-06-14,65
2020-06-21,22
2020-06-28,57
2020-07-05,80
2020-07-12,23
2020-07-19,45
2020-07-26,47
2020-08-02,35
2020-08-09,58
2020-08-16,60
2020-08-23,23
2020-08-30,35
2020-09-06,56
2020-09-13,11
2020-09-20,44
2020-09-27,12
2020-10-04,73
2020-10-11,66
2020-10-18,54
2020-10-25,67
2020-11-01,11
2020-11-08,50
2020-11-15,38
2020-11-22,64
2020-11-29,61
2020-12-06,75
2020-12-13,50
2020-12-20,0
2020-12-27,64
2021-01-03,36
2021-01-10,100
2021-01-17,25
2021-01-24,50
2021-01-31,25
2021-02-07,50
2021-02-14,38
2021-02-21,38
2021-02-28,0
