Category: All categories

Week,Tinder: (Idaho)
2020-03-01,65
2020-03-08,41
2020-03-15,25
2020-03-22,40
2020-03-29,55
2020-04-05,53
2020-04-12,51
2020-04-19,80
2020-04-26,67
2020-05-03,67
2020-05-10,40
2020-05-17,73
2020-05-24,79
2020-05-31,55
2020-06-07,55
2020-06-14,62
2020-06-21,59
2020-06-28,49
2020-07-05,60
2020-07-12,49
2020-07-19,67
2020-07-26,100
2020-08-02,44
2020-08-09,45
2020-08-16,43
2020-08-23,100
2020-08-30,47
2020-09-06,79
2020-09-13,84
2020-09-20,57
2020-09-27,62
2020-10-04,75
2020-10-11,50
2020-10-18,55
2020-10-25,86
2020-11-01,59
2020-11-08,40
2020-11-15,41
2020-11-22,56
2020-11-29,71
2020-12-06,47
2020-12-13,84
2020-12-20,45
2020-12-27,37
2021-01-03,45
2021-01-10,41
2021-01-17,23
2021-01-24,29
2021-01-31,65
2021-02-07,64
2021-02-14,60
2021-02-21,41
2021-02-28,0
