Category: All categories

Week,Tinder: (Indiana)
2020-03-01,79
2020-03-08,77
2020-03-15,61
2020-03-22,52
2020-03-29,76
2020-04-05,86
2020-04-12,65
2020-04-19,72
2020-04-26,63
2020-05-03,97
2020-05-10,78
2020-05-17,97
2020-05-24,81
2020-05-31,71
2020-06-07,67
2020-06-14,93
2020-06-21,89
2020-06-28,81
2020-07-05,76
2020-07-12,89
2020-07-19,71
2020-07-26,74
2020-08-02,68
2020-08-09,88
2020-08-16,83
2020-08-23,100
2020-08-30,70
2020-09-06,75
2020-09-13,79
2020-09-20,77
2020-09-27,51
2020-10-04,55
2020-10-11,76
2020-10-18,90
2020-10-25,91
2020-11-01,64
2020-11-08,53
2020-11-15,64
2020-11-22,50
2020-11-29,82
2020-12-06,91
2020-12-13,64
2020-12-20,34
2020-12-27,55
2021-01-03,56
2021-01-10,45
2021-01-17,79
2021-01-24,76
2021-01-31,75
2021-02-07,57
2021-02-14,89
2021-02-21,80
2021-02-28,42
