Category: All categories

Week,Tinder: (Iowa)
2020-03-01,50
2020-03-08,62
2020-03-15,64
2020-03-22,59
2020-03-29,84
2020-04-05,37
2020-04-12,74
2020-04-19,38
2020-04-26,46
2020-05-03,57
2020-05-10,61
2020-05-17,58
2020-05-24,77
2020-05-31,20
2020-06-07,60
2020-06-14,73
2020-06-21,51
2020-06-28,62
2020-07-05,56
2020-07-12,65
2020-07-19,74
2020-07-26,45
2020-08-02,97
2020-08-09,58
2020-08-16,89
2020-08-23,100
2020-08-30,57
2020-09-06,84
2020-09-13,67
2020-09-20,29
2020-09-27,73
2020-10-04,80
2020-10-11,64
2020-10-18,57
2020-10-25,77
2020-11-01,43
2020-11-08,59
2020-11-15,64
2020-11-22,71
2020-11-29,56
2020-12-06,78
2020-12-13,37
2020-12-20,74
2020-12-27,70
2021-01-03,36
2021-01-10,54
2021-01-17,50
2021-01-24,86
2021-01-31,72
2021-02-07,32
2021-02-14,64
2021-02-21,59
2021-02-28,100
