Category: All categories

Week,Tinder: (Kansas)
2020-03-01,41
2020-03-08,73
2020-03-15,9
2020-03-22,52
2020-03-29,63
2020-04-05,59
2020-04-12,24
2020-04-19,33
2020-04-26,54
2020-05-03,70
2020-05-10,42
2020-05-17,49
2020-05-24,73
2020-05-31,59
2020-06-07,41
2020-06-14,42
2020-06-21,67
2020-06-28,68
2020-07-05,75
2020-07-12,58
2020-07-19,54
2020-07-26,55
2020-08-02,100
2020-08-09,54
2020-08-16,60
2020-08-23,80
2020-08-30,66
2020-09-06,83
2020-09-13,41
2020-09-20,69
2020-09-27,54
2020-10-04,60
2020-10-11,32
2020-10-18,59
2020-10-25,48
2020-11-01,40
2020-11-08,70
2020-11-15,56
2020-11-22,36
2020-11-29,49
2020-12-06,66
2020-12-13,46
2020-12-20,60
2020-12-27,63
2021-01-03,64
2021-01-10,30
2021-01-17,45
2021-01-24,60
2021-01-31,46
2021-02-07,30
2021-02-14,50
2021-02-21,35
2021-02-28,0
