Category: All categories

Week,Tinder: (Kentucky)
2020-03-01,43
2020-03-08,64
2020-03-15,55
2020-03-22,54
2020-03-29,90
2020-04-05,80
2020-04-12,50
2020-04-19,47
2020-04-26,95
2020-05-03,55
2020-05-10,84
2020-05-17,70
2020-05-24,90
2020-05-31,87
2020-06-07,68
2020-06-14,66
2020-06-21,42
2020-06-28,91
2020-07-05,78
2020-07-12,56
2020-07-19,77
2020-07-26,47
2020-08-02,65
2020-08-09,64
2020-08-16,85
2020-08-23,90
2020-08-30,87
2020-09-06,93
2020-09-13,52
2020-09-20,58
2020-09-27,79
2020-10-04,45
2020-10-11,88
2020-10-18,77
2020-10-25,68
2020-11-01,73
2020-11-08,86
2020-11-15,81
2020-11-22,63
2020-11-29,58
2020-12-06,73
2020-12-13,66
2020-12-20,56
2020-12-27,81
2021-01-03,67
2021-01-10,63
2021-01-17,59
2021-01-24,82
2021-01-31,100
2021-02-07,64
2021-02-14,84
2021-02-21,89
2021-02-28,68
