Category: All categories

Week,Tinder: (Louisiana)
2020-03-01,46
2020-03-08,32
2020-03-15,58
2020-03-22,43
2020-03-29,59
2020-04-05,54
2020-04-12,53
2020-04-19,51
2020-04-26,55
2020-05-03,41
2020-05-10,50
2020-05-17,47
2020-05-24,47
2020-05-31,47
2020-06-07,45
2020-06-14,38
2020-06-21,41
2020-06-28,70
2020-07-05,58
2020-07-12,51
2020-07-19,24
2020-07-26,67
2020-08-02,31
2020-08-09,62
2020-08-16,50
2020-08-23,71
2020-08-30,44
2020-09-06,50
2020-09-13,61
2020-09-20,51
2020-09-27,31
2020-10-04,53
2020-10-11,62
2020-10-18,70
2020-10-25,66
2020-11-01,31
2020-11-08,38
2020-11-15,37
2020-11-22,48
2020-11-29,57
2020-12-06,48
2020-12-13,47
2020-12-20,43
2020-12-27,57
2021-01-03,56
2021-01-10,69
2021-01-17,54
2021-01-24,54
2021-01-31,32
2021-02-07,55
2021-02-14,43
2021-02-21,64
2021-02-28,100
