Category: All categories

Week,Tinder: (Maryland)
2020-03-01,70
2020-03-08,50
2020-03-15,55
2020-03-22,80
2020-03-29,76
2020-04-05,70
2020-04-12,85
2020-04-19,61
2020-04-26,78
2020-05-03,82
2020-05-10,74
2020-05-17,57
2020-05-24,78
2020-05-31,46
2020-06-07,72
2020-06-14,74
2020-06-21,95
2020-06-28,75
2020-07-05,68
2020-07-12,79
2020-07-19,98
2020-07-26,99
2020-08-02,56
2020-08-09,61
2020-08-16,54
2020-08-23,67
2020-08-30,87
2020-09-06,44
2020-09-13,81
2020-09-20,74
2020-09-27,70
2020-10-04,62
2020-10-11,61
2020-10-18,66
2020-10-25,69
2020-11-01,57
2020-11-08,47
2020-11-15,64
2020-11-22,80
2020-11-29,76
2020-12-06,62
2020-12-13,78
2020-12-20,65
2020-12-27,47
2021-01-03,56
2021-01-10,70
2021-01-17,56
2021-01-24,62
2021-01-31,66
2021-02-07,55
2021-02-14,52
2021-02-21,53
2021-02-28,100
