Category: All categories

Week,Tinder: (Massachusetts)
2020-03-01,63
2020-03-08,59
2020-03-15,63
2020-03-22,63
2020-03-29,80
2020-04-05,70
2020-04-12,72
2020-04-19,75
2020-04-26,86
2020-05-03,64
2020-05-10,68
2020-05-17,61
2020-05-24,72
2020-05-31,68
2020-06-07,47
2020-06-14,62
2020-06-21,81
2020-06-28,84
2020-07-05,81
2020-07-12,85
2020-07-19,75
2020-07-26,69
2020-08-02,62
2020-08-09,77
2020-08-16,68
2020-08-23,65
2020-08-30,67
2020-09-06,79
2020-09-13,70
2020-09-20,67
2020-09-27,72
2020-10-04,79
2020-10-11,100
2020-10-18,84
2020-10-25,42
2020-11-01,78
2020-11-08,74
2020-11-15,76
2020-11-22,49
2020-11-29,60
2020-12-06,77
2020-12-13,76
2020-12-20,78
2020-12-27,57
2021-01-03,63
2021-01-10,66
2021-01-17,82
2021-01-24,55
2021-01-31,52
2021-02-07,72
2021-02-14,91
2021-02-21,59
2021-02-28,74
