Category: All categories

Week,Tinder: (Michigan)
2020-03-01,80
2020-03-08,61
2020-03-15,63
2020-03-22,60
2020-03-29,58
2020-04-05,65
2020-04-12,60
2020-04-19,58
2020-04-26,60
2020-05-03,47
2020-05-10,61
2020-05-17,46
2020-05-24,55
2020-05-31,49
2020-06-07,54
2020-06-14,66
2020-06-21,62
2020-06-28,71
2020-07-05,80
2020-07-12,100
2020-07-19,83
2020-07-26,76
2020-08-02,58
2020-08-09,69
2020-08-16,68
2020-08-23,77
2020-08-30,65
2020-09-06,78
2020-09-13,72
2020-09-20,58
2020-09-27,63
2020-10-04,70
2020-10-11,71
2020-10-18,63
2020-10-25,69
2020-11-01,52
2020-11-08,71
2020-11-15,86
2020-11-22,55
2020-11-29,78
2020-12-06,71
2020-12-13,61
2020-12-20,58
2020-12-27,68
2021-01-03,63
2021-01-10,57
2021-01-17,48
2021-01-24,60
2021-01-31,68
2021-02-07,54
2021-02-14,46
2021-02-21,56
2021-02-28,55
