Category: All categories

Week,Tinder: (Minnesota)
2020-03-01,45
2020-03-08,54
2020-03-15,29
2020-03-22,48
2020-03-29,37
2020-04-05,40
2020-04-12,51
2020-04-19,41
2020-04-26,38
2020-05-03,40
2020-05-10,46
2020-05-17,49
2020-05-24,37
2020-05-31,23
2020-06-07,28
2020-06-14,42
2020-06-21,40
2020-06-28,64
2020-07-05,52
2020-07-12,35
2020-07-19,42
2020-07-26,58
2020-08-02,38
2020-08-09,39
2020-08-16,52
2020-08-23,43
2020-08-30,50
2020-09-06,39
2020-09-13,29
2020-09-20,55
2020-09-27,36
2020-10-04,38
2020-10-11,40
2020-10-18,43
2020-10-25,72
2020-11-01,35
2020-11-08,46
2020-11-15,53
2020-11-22,50
2020-11-29,45
2020-12-06,33
2020-12-13,42
2020-12-20,40
2020-12-27,38
2021-01-03,40
2021-01-10,33
2021-01-17,34
2021-01-24,42
2021-01-31,46
2021-02-07,26
2021-02-14,30
2021-02-21,24
2021-02-28,100
