Category: All categories

Week,Tinder: (Mississippi)
2020-03-01,52
2020-03-08,49
2020-03-15,79
2020-03-22,25
2020-03-29,37
2020-04-05,100
2020-04-12,47
2020-04-19,59
2020-04-26,73
2020-05-03,49
2020-05-10,25
2020-05-17,19
2020-05-24,58
2020-05-31,38
2020-06-07,43
2020-06-14,45
2020-06-21,52
2020-06-28,60
2020-07-05,20
2020-07-12,40
2020-07-19,59
2020-07-26,40
2020-08-02,47
2020-08-09,40
2020-08-16,51
2020-08-23,42
2020-08-30,49
2020-09-06,26
2020-09-13,42
2020-09-20,61
2020-09-27,40
2020-10-04,53
2020-10-11,51
2020-10-18,66
2020-10-25,45
2020-11-01,44
2020-11-08,55
2020-11-15,57
2020-11-22,36
2020-11-29,55
2020-12-06,42
2020-12-13,50
2020-12-20,23
2020-12-27,14
2021-01-03,33
2021-01-10,34
2021-01-17,47
2021-01-24,27
2021-01-31,90
2021-02-07,41
2021-02-14,49
2021-02-21,34
2021-02-28,54
