Category: All categories

Week,Tinder: (Missouri)
2020-03-01,48
2020-03-08,57
2020-03-15,54
2020-03-22,72
2020-03-29,46
2020-04-05,56
2020-04-12,69
2020-04-19,41
2020-04-26,52
2020-05-03,78
2020-05-10,31
2020-05-17,63
2020-05-24,54
2020-05-31,64
2020-06-07,75
2020-06-14,50
2020-06-21,51
2020-06-28,76
2020-07-05,100
2020-07-12,68
2020-07-19,48
2020-07-26,76
2020-08-02,38
2020-08-09,58
2020-08-16,68
2020-08-23,89
2020-08-30,51
2020-09-06,63
2020-09-13,61
2020-09-20,63
2020-09-27,69
2020-10-04,57
2020-10-11,59
2020-10-18,54
2020-10-25,84
2020-11-01,35
2020-11-08,56
2020-11-15,44
2020-11-22,55
2020-11-29,64
2020-12-06,50
2020-12-13,50
2020-12-20,39
2020-12-27,44
2021-01-03,60
2021-01-10,57
2021-01-17,48
2021-01-24,73
2021-01-31,64
2021-02-07,57
2021-02-14,68
2021-02-21,54
2021-02-28,54
