Category: All categories

Week,Tinder: (Montana)
2020-03-01,20
2020-03-08,39
2020-03-15,33
2020-03-22,41
2020-03-29,45
2020-04-05,36
2020-04-12,62
2020-04-19,59
2020-04-26,84
2020-05-03,42
2020-05-10,73
2020-05-17,50
2020-05-24,74
2020-05-31,64
2020-06-07,51
2020-06-14,51
2020-06-21,87
2020-06-28,46
2020-07-05,53
2020-07-12,59
2020-07-19,40
2020-07-26,53
2020-08-02,79
2020-08-09,53
2020-08-16,78
2020-08-23,69
2020-08-30,44
2020-09-06,57
2020-09-13,54
2020-09-20,50
2020-09-27,47
2020-10-04,41
2020-10-11,59
2020-10-18,29
2020-10-25,51
2020-11-01,48
2020-11-08,63
2020-11-15,100
2020-11-22,74
2020-11-29,29
2020-12-06,37
2020-12-13,37
2020-12-20,39
2020-12-27,66
2021-01-03,34
2021-01-10,64
2021-01-17,28
2021-01-24,14
2021-01-31,36
2021-02-07,49
2021-02-14,37
2021-02-21,43
2021-02-28,0
