Category: All categories

Week,Tinder: (Nebraska)
2020-03-01,72
2020-03-08,42
2020-03-15,59
2020-03-22,52
2020-03-29,51
2020-04-05,76
2020-04-12,44
2020-04-19,51
2020-04-26,46
2020-05-03,100
2020-05-10,52
2020-05-17,54
2020-05-24,37
2020-05-31,72
2020-06-07,80
2020-06-14,75
2020-06-21,39
2020-06-28,81
2020-07-05,99
2020-07-12,100
2020-07-19,33
2020-07-26,46
2020-08-02,61
2020-08-09,52
2020-08-16,56
2020-08-23,95
2020-08-30,60
2020-09-06,74
2020-09-13,85
2020-09-20,85
2020-09-27,66
2020-10-04,94
2020-10-11,66
2020-10-18,93
2020-10-25,86
2020-11-01,77
2020-11-08,94
2020-11-15,91
2020-11-22,70
2020-11-29,20
2020-12-06,27
2020-12-13,78
2020-12-20,52
2020-12-27,99
2021-01-03,54
2021-01-10,89
2021-01-17,27
2021-01-24,69
2021-01-31,84
2021-02-07,49
2021-02-14,56
2021-02-21,21
2021-02-28,0
