Category: All categories

Week,Tinder: (Nevada)
2020-03-01,31
2020-03-08,67
2020-03-15,37
2020-03-22,43
2020-03-29,70
2020-04-05,49
2020-04-12,53
2020-04-19,41
2020-04-26,41
2020-05-03,50
2020-05-10,57
2020-05-17,52
2020-05-24,59
2020-05-31,30
2020-06-07,50
2020-06-14,36
2020-06-21,44
2020-06-28,64
2020-07-05,59
2020-07-12,44
2020-07-19,61
2020-07-26,36
2020-08-02,55
2020-08-09,65
2020-08-16,44
2020-08-23,40
2020-08-30,44
2020-09-06,58
2020-09-13,30
2020-09-20,40
2020-09-27,45
2020-10-04,40
2020-10-11,36
2020-10-18,46
2020-10-25,61
2020-11-01,24
2020-11-08,72
2020-11-15,31
2020-11-22,52
2020-11-29,47
2020-12-06,52
2020-12-13,38
2020-12-20,44
2020-12-27,72
2021-01-03,66
2021-01-10,31
2021-01-17,30
2021-01-24,44
2021-01-31,44
2021-02-07,48
2021-02-14,65
2021-02-21,58
2021-02-28,100
