Category: All categories

Week,Tinder: (New Hampshire)
2020-03-01,40
2020-03-08,26
2020-03-15,61
2020-03-22,45
2020-03-29,33
2020-04-05,73
2020-04-12,44
2020-04-19,45
2020-04-26,56
2020-05-03,33
2020-05-10,68
2020-05-17,70
2020-05-24,29
2020-05-31,28
2020-06-07,77
2020-06-14,25
2020-06-21,25
2020-06-28,80
2020-07-05,38
2020-07-12,39
2020-07-19,39
2020-07-26,26
2020-08-02,39
2020-08-09,64
2020-08-16,64
2020-08-23,50
2020-08-30,31
2020-09-06,56
2020-09-13,18
2020-09-20,75
2020-09-27,58
2020-10-04,60
2020-10-11,29
2020-10-18,74
2020-10-25,73
2020-11-01,49
2020-11-08,28
2020-11-15,50
2020-11-22,93
2020-11-29,63
2020-12-06,50
2020-12-13,29
2020-12-20,37
2020-12-27,70
2021-01-03,34
2021-01-10,14
2021-01-17,28
2021-01-24,42
2021-01-31,36
2021-02-07,29
2021-02-14,55
2021-02-21,65
2021-02-28,100
